customer_id,username,email,city_area,registration_date
1,user_1000,user1000@gmail.com,Indiranagar,2022-06-13
2,user_1001,user1001@gmail.com,Jayanagar,2022-10-04
3,user_1002,user1002@gmail.com,HSR Layout,2022-08-11
4,user_1003,user1003@gmail.com,Indiranagar,2023-05-13
5,user_1004,user1004@gmail.com,Bannerghatta Road,2022-07-15
6,user_1005,user1005@gmail.com,Marathahalli,2023-01-03
7,user_1006,user1006@gmail.com,Koramangala,2022-06-16
8,user_1007,user1007@gmail.com,Indiranagar,2022-09-20
9,user_1008,user1008@gmail.com,HSR Layout,2023-02-14
10,user_1009,user1009@gmail.com,Marathahalli,2022-06-14
11,user_1010,user1010@gmail.com,Bannerghatta Road,2022-09-10
12,user_1011,user1011@gmail.com,Bannerghatta Road,2023-01-01
13,user_1012,user1012@gmail.com,HSR Layout,2023-01-16
14,user_1013,user1013@gmail.com,Marathahalli,2022-10-21
15,user_1014,user1014@gmail.com,Koramangala,2023-06-24
16,user_1015,user1015@gmail.com,Whitefield,2023-05-24
17,user_1016,user1016@gmail.com,Hebbal,2022-11-22
18,user_1017,user1017@gmail.com,Jayanagar,2022-08-19
19,user_1018,user1018@gmail.com,HSR Layout,2023-06-26
20,user_1019,user1019@gmail.com,Malleshwaram,2022-07-23
21,user_1020,user1020@gmail.com,Indiranagar,2022-12-12
22,user_1021,user1021@gmail.com,Indiranagar,2022-12-01
23,user_1022,user1022@gmail.com,Malleshwaram,2023-04-06
24,user_1023,user1023@gmail.com,Jayanagar,2022-06-23
25,user_1024,user1024@gmail.com,Electronic City,2023-03-02
26,user_1025,user1025@gmail.com,Indiranagar,2022-12-11
27,user_1026,user1026@gmail.com,Indiranagar,2023-03-10
28,user_1027,user1027@gmail.com,Jayanagar,2023-04-18
29,user_1028,user1028@gmail.com,Marathahalli,2022-12-03
30,user_1029,user1029@gmail.com,Marathahalli,2022-09-07
31,user_1030,user1030@gmail.com,Indiranagar,2022-06-24
32,user_1031,user1031@gmail.com,HSR Layout,2023-07-01
33,user_1032,user1032@gmail.com,Jayanagar,2022-07-11
34,user_1033,user1033@gmail.com,HSR Layout,2022-07-22
35,user_1034,user1034@gmail.com,Hebbal,2022-10-21
36,user_1035,user1035@gmail.com,Electronic City,2023-04-22
37,user_1036,user1036@gmail.com,Malleshwaram,2022-08-23
38,user_1037,user1037@gmail.com,Malleshwaram,2022-11-29
39,user_1038,user1038@gmail.com,HSR Layout,2023-05-10
40,user_1039,user1039@gmail.com,Jayanagar,2023-05-26
41,user_1040,user1040@gmail.com,Indiranagar,2023-04-08
42,user_1041,user1041@gmail.com,Whitefield,2023-03-01
43,user_1042,user1042@gmail.com,HSR Layout,2022-08-23
44,user_1043,user1043@gmail.com,Electronic City,2022-12-12
45,user_1044,user1044@gmail.com,Jayanagar,2023-04-24
46,user_1045,user1045@gmail.com,Bannerghatta Road,2022-09-21
47,user_1046,user1046@gmail.com,Malleshwaram,2023-06-29
48,user_1047,user1047@gmail.com,Koramangala,2022-09-26
49,user_1048,user1048@gmail.com,Koramangala,2022-11-09
50,user_1049,user1049@gmail.com,Hebbal,2022-10-16
51,user_1050,user1050@gmail.com,Indiranagar,2022-09-17
52,user_1051,user1051@gmail.com,Marathahalli,2023-06-03
53,user_1052,user1052@gmail.com,Malleshwaram,2022-09-17
54,user_1053,user1053@gmail.com,Electronic City,2022-12-20
